TIPO DE INSTITUTO;NIVEL DE FORMACION;CAMPO AMPLIO;CAMPO ESPECIFICO;CAMPO DETALLADO;NOMBRE DEL PROGRAMA
publica;tecnologico;ingenieria, industria y construccion;ingenieria y profesiones afines;electricidad y energia;tecnologia en montajes industriales
publica;tecnologico;ingenieria, industria y construccion;ingenieria y profesiones afines;ingenieria y profesiones afines no clasificadas en otra parte;tecnologia en produccion industrial
privado;universitario;arte y humanidades;artes;diseno industrial, de moda e interiores;profesional de diseno de modas
privado;universitario;administracion de empresas y derecho;educacion comercial y administracion;gestion y administracion;profesional en administracion de empresas
privado;universitario;arte y humanidades;artes;diseno industrial, de moda e interiores;profesional en diseno de espacios
privado;universitario;arte y humanidades;artes;diseno industrial, de moda e interiores;profesional en diseno industrial
privado;universitario;ingenieria, industria y construccion;programas y certificaciones interdisciplinarios relativos a ingenieria, industria y construccion;programas y certificaciones interdisciplinarios relativos a ingenieria, industria y construccion;profesional en ingenieria industrial
privado;universitario;administracion de empresas y derecho;educacion comercial y administracion;mercadotecnia y publicidad;profesional en marketing internacional
privado;universitario;arte y humanidades;artes;diseno industrial, de moda e interiores;profesional en publicidad
privado;formacion tecnica profesional;arte y humanidades;artes;diseno industrial, de moda e interiores;tecnica profesional en diseno de modas
privado;formacion tecnica profesional;arte y humanidades;artes;diseno industrial, de moda e interiores;tecnica profesional en expresion digital y adaptacion de espacios
privado;formacion tecnica profesional;administracion de empresas y derecho;educacion comercial y administracion;mercadotecnia y publicidad;tecnica profesional en expresion publicitaria
privado;formacion tecnica profesional;arte y humanidades;artes;diseno industrial, de moda e interiores;tecnica profesional en procesos de desarrollo de producto
privado;formacion tecnica profesional;administracion de empresas y derecho;educacion comercial y administracion;gestion y administracion;tecnica profesional en procesos empresariales
privado;formacion tecnica profesional;administracion de empresas y derecho;educacion comercial y administracion;mercadotecnia y publicidad;tecnica profesional en procesos en marketing internacional
privado;formacion tecnica profesional;arte y humanidades;artes;musica y artes escenicas;tecnica profesional en produccion de vestuario
privado;formacion tecnica profesional;administracion de empresas y derecho;educacion comercial y administracion;contabilidad e impuestos;tecnico profesional en procesos contables y tributarios
privado;formacion tecnica profesional;administracion de empresas y derecho;educacion comercial y administracion;gestion y administracion;tecnico profesional en procesos empresariales
privado;tecnologico;administracion de empresas y derecho;educacion comercial y administracion;mercadotecnia y publicidad;tecnologia en gestion de marketing internacional
privado;tecnologico;ingenieria, industria y construccion;ingenieria y profesiones afines;ingenieria y profesiones afines no clasificadas en otra parte;tecnologia en gestion de produccion sostenible
privado;tecnologico;administracion de empresas y derecho;educacion comercial y administracion;gestion y administracion;tecnologia en gestion de producto
privado;tecnologico;tecnologias de la informacion y la comunicacion tic;programas y certificaciones interdisciplinarios relativos a tecnologias de la informacion y la comunicacion tic;programas y certificaciones interdisciplinarios relativos a tecnologias de la informacion y la comunicacion (tic);tecnologia en gestion de sistemas de informacion
privado;tecnologico;arte y humanidades;artes;diseno industrial, de moda e interiores;tecnologia en produccion de colecciones industriales
privado;tecnologico;arte y humanidades;artes;diseno industrial, de moda e interiores;tecnologia en produccion de espacios y ambientes
privado;tecnologico;administracion de empresas y derecho;educacion comercial y administracion;mercadotecnia y publicidad;tecnologia en produccion de medios publicitarios
privado;formacion tecnica profesional;administracion de empresas y derecho;educacion comercial y administracion;competencias laborales;tecnica profesional en procesos de comercio exterior
privado;formacion tecnica profesional;ingenieria, industria y construccion;programas y certificaciones interdisciplinarios relativos a ingenieria, industria y construccion;programas y certificaciones interdisciplinarios relativos a ingenieria, industria y construccion;tecnica profesional en seguridad y salud en el trabajo
privado;formacion tecnica profesional;servicios;servicios personales;viajes, turismo y actividades recreativas;tecnica profesional en hoteleria y turismo
privado;formacion tecnica profesional;tecnologias de la informacion y la comunicacion tic;tecnologias de la informacion y la comunicacion tic;diseno y administracion de redes y bases de datos;tecnico profesional en aseguramiento y procesamiento de bases de datos
privado;formacion tecnica profesional;administracion de empresas y derecho;educacion comercial y administracion;ventas al por mayor y al por menor;tecnico profesional en asesoria comercial para soluciones digitales
privado;formacion tecnica profesional;tecnologias de la informacion y la comunicacion tic;tecnologias de la informacion y la comunicacion tic;diseno y administracion de redes y bases de datos;tecnico profesional en construccion y operacion de sitios web
privado;formacion tecnica profesional;arte y humanidades;artes;tecnicas audiovisuales y produccion para medios de comunicacion;tecnico profesional en creacion de contenidos digitales
privado;formacion tecnica profesional;tecnologias de la informacion y la comunicacion tic;tecnologias de la informacion y la comunicacion tic;desarrollo y analisis de software y aplicaciones;tecnico profesional en desarrollo de aplicaciones web moviles
privado;formacion tecnica profesional;ingenieria, industria y construccion;industria y procesamiento;industria y procesamiento no clasificados en otra parte;tecnico profesional en mejoramiento de procesos industriales
privado;formacion tecnica profesional;ingenieria, industria y construccion;ingenieria y profesiones afines;electricidad y energia;tecnico profesional en montaje y mantenimiento de energias renovables
privado;formacion tecnica profesional;tecnologias de la informacion y la comunicacion tic;tecnologias de la informacion y la comunicacion tic;desarrollo y analisis de software y aplicaciones;tecnico profesional en operacion de sistemas de informacion
privado;formacion tecnica profesional;administracion de empresas y derecho;educacion comercial y administracion;contabilidad e impuestos;tecnico profesional en operaciones contables y financieras digitales
privado;formacion tecnica profesional;administracion de empresas y derecho;educacion comercial y administracion;gestion y administracion;tecnico profesional en operaciones de comercio electronico
privado;formacion tecnica profesional;administracion de empresas y derecho;educacion comercial y administracion;gestion financiera, administracion bancaria y seguros;tecnico profesional en operaciones fintech
privado;formacion tecnica profesional;tecnologias de la informacion y la comunicacion tic;tecnologias de la informacion y la comunicacion tic;diseno y administracion de redes y bases de datos;tecnico profesional en procesos de cloud computing
privado;formacion tecnica profesional;administracion de empresas y derecho;educacion comercial y administracion;gestion y administracion;tecnico profesional en procesos de inteligencia de negocios
privado;formacion tecnica profesional;administracion de empresas y derecho;educacion comercial y administracion;mercadotecnia y publicidad;tecnico profesional en procesos de mercadeo digital
privado;formacion tecnica profesional;tecnologias de la informacion y la comunicacion tic;tecnologias de la informacion y la comunicacion tic;desarrollo y analisis de software y aplicaciones;tecnico profesional en programacion de software
privado;formacion tecnica profesional;tecnologias de la informacion y la comunicacion tic;programas y certificaciones interdisciplinarios relativos a tecnologias de la informacion y la comunicacion tic;programas y certificaciones interdisciplinarios relativos a tecnologias de la informacion y la comunicacion (tic);tecnico profesional en relacionamiento digital con clientes enfoque crm
privado;formacion tecnica profesional;tecnologias de la informacion y la comunicacion tic;tecnologias de la informacion y la comunicacion tic;desarrollo y analisis de software y aplicaciones;tecnico profesional en servicios de seguridad informatica
privado;formacion tecnica profesional;ingenieria, industria y construccion;arquitectura y construccion;construccion e ingenieria civil;tecnica profesional en avaluos inmobiliarios urbanos y rurales
privado;formacion tecnica profesional;administracion de empresas y derecho;educacion comercial y administracion;secretariado y trabajo de oficina;tecnica profesional en procesos administrativos empresariales
privado;formacion tecnica profesional;administracion de empresas y derecho;educacion comercial y administracion;secretariado y trabajo de oficina;tecnica profesional en procesos administrativos en salud
privado;formacion tecnica profesional;ciencias naturales, matematicas y estadistica;medio ambiente;medio ambiente natural y vida silvestre;tecnica profesional en procesos de manejo ambiental
privado;formacion tecnica profesional;administracion de empresas y derecho;educacion comercial y administracion;secretariado y trabajo de oficina;tecnica profesional en procesos de seguridad y salud en el trabajo
privado;formacion tecnica profesional;administracion de empresas y derecho;educacion comercial y administracion;secretariado y trabajo de oficina;tecnica profesional en procesos judiciales
privado;formacion tecnica profesional;ingenieria, industria y construccion;ingenieria y profesiones afines;mecanica y profesiones afines a la metalisteria;tecnico profesional en avaluos inmobiliarios urbanos y rurales
privado;formacion tecnica profesional;ingenieria, industria y construccion;ingenieria y profesiones afines;mecanica y profesiones afines a la metalisteria;tecnico profesional en mecanica automotriz
